country,year,int_rev_pct
BR,2010,19.694716516079918
BR,2011,20.87492588544807
BR,2012,18.79017519265231
BR,2013,19.146470401385155
BR,2014,21.375147634937
BR,2015,32.3069398604034
BR,2016,26.532610139943273
BR,2017,24.761720123466418
BR,2018,23.739719642133895
BR,2019,18.860914684110174
BR,2020,16.769055931350714
BR,2021,18.057662876301915
BR,2022,20.371134187248106
BR,2023,21.640488514005558
BR,2024,20.959651359859535
CA,2010,9.3949283987122
CA,2011,9.320019090491302
CA,2012,8.902399398012788
CA,2013,8.600296015273644
CA,2014,8.054454112864317
CA,2015,7.68553724827491
CA,2016,7.365746571080129
CA,2017,7.048881539790538
CA,2018,7.169477627888922
CA,2019,7.291084058563824
CA,2020,7.07584768479094
CA,2021,6.197502626612045
CA,2022,6.516146448513763
CA,2023,7.677701749635197
CA,2024,8.27321212287524
DE,2010,5.730938939521091
DE,2011,5.567617726285745
DE,2012,5.090064441635495
DE,2013,3.9982682542030585
DE,2014,3.5215721941926037
DE,2015,3.061863731973206
DE,2016,2.585341588120892
DE,2017,2.255475851190411
DE,2018,1.9891801914274052
DE,2019,1.6923630098143936
DE,2020,1.3883953956616883
DE,2021,1.2437764015209518
DE,2022,1.5038619053497726
DE,2023,1.9130051957653122
DE,2024,2.2637572600969644
FR,2010,4.929991297912992
FR,2011,5.251335622579062
FR,2012,4.990254466555169
FR,2013,4.344585222468264
FR,2014,4.08197350944476
FR,2015,3.781272656595468
FR,2016,3.545895407325416
FR,2017,3.2964024291801537
FR,2018,3.2756849441506817
FR,2019,2.8625797132327975
FR,2020,2.429875401443669
FR,2021,2.6238906145242846
FR,2022,3.5729185782573705
FR,2023,3.63686863547985
FR,2024,4.009024166890499
GB,2010,7.163100675874904
GB,2011,8.98276272566379
GB,2012,8.11702375256976
GB,2013,7.877845405590087
GB,2014,7.570254454995032
GB,2015,6.5682322582148895
GB,2016,6.8149739480730425
GB,2017,7.406262606153749
GB,2018,6.82498759150859
GB,2019,6.08391893042022
GB,2020,5.4909010139830166
GB,2021,7.2400918185951975
GB,2022,10.896345729778025
GB,2023,8.28620756897644
GB,2024,7.405683926076969
IN,2010,23.74465198742153
IN,2011,23.7294691038637
IN,2012,23.05268964065985
IN,2013,24.26036409422225
IN,2014,24.48118871058904
IN,2015,23.70118699668071
IN,2016,23.401646266166345
IN,2017,24.045894732231634
IN,2018,23.721014124862045
IN,2019,24.82376904169127
IN,2020,31.365832021113082
IN,2021,25.82554971233129
IN,2022,25.78045717572571
IN,2023,24.318409130187103
IN,2024,24.961424832016732
IT,2010,9.605308281411997
IT,2011,10.152797170805758
IT,2012,10.777112014554705
IT,2013,9.97381294557498
IT,2014,9.500909351967108
IT,2015,8.57029260485771
IT,2016,8.344405389646086
IT,2017,8.093299704675557
IT,2018,7.849033595512555
IT,2019,7.105424946043231
IT,2020,7.215894521573977
IT,2021,7.249655896257981
IT,2022,8.71828967044674
IT,2023,7.815145799562612
IT,2024,8.246947574082727
JP,2010,7.922385188548136
JP,2011,7.788705820437411
JP,2012,7.454043984924217
JP,2013,7.0700706042038295
JP,2014,6.560214551004513
JP,2015,6.071065451005046
JP,2016,5.84236458583692
JP,2017,5.45310372783249
JP,2018,5.084089983281113
JP,2019,4.883106062826402
JP,2020,4.653212915308705
JP,2021,4.262389188377147
JP,2022,3.9677787567134226
JP,2023,3.885599026983665
JP,2024,3.9763634476693226
MX,2010,13.129902327616033
MX,2011,11.989384781696593
MX,2012,12.598173202048613
MX,2013,12.611022827989046
MX,2014,12.931045413592088
MX,2015,12.851675288296057
MX,2016,13.499139620678074
MX,2017,16.391535013454803
MX,2018,17.5506103331029
MX,2019,21.096747958567608
MX,2020,20.636022823290432
MX,2021,19.994528754979708
MX,2022,22.1320416670171
MX,2023,25.553328065173435
MX,2024,26.332213677723093
US,2010,9.307384853814487
US,2011,9.903175689259422
US,2012,9.365835079837504
US,2013,7.958306153326015
US,2014,7.905056433711681
US,2015,7.431407755568455
US,2016,8.037320317561518
US,2017,8.296434702464305
US,2018,9.225819313323278
US,2019,9.387120719836721
US,2020,8.283577149463072
US,2021,8.386589428246706
US,2022,9.469290140686805
US,2023,12.019851607989432
US,2024,13.23071314725214
